country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_international,package_accomodation,package_food,package_transport_local,package_sightseeing,package_guided_tour,package_insurance,nights_stayed,payment_mode,first_trip,most_impressing,total_cost
GERMANY,25-44,Children,1,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,Cash,Yes,Friendly People,2269330
KENYA,25-44,Alone,1,0,Business,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,Cash,No,Friendly People,377520
UNITED KINGDOM,Jan-24,Alone,1,0,Volunteering,Cultural tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,70,Cash,Yes,"Wonderful Country, Landscape, Nature",711262.5
KENYA,45-64,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,Cash,Yes,No comments,497250
SWIZERLAND,45-64,Children,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,No,No,No,No,No,10,Credit Card,No,Friendly People,7458750
ALGERIA,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,0,Cash,Yes, Wildlife,3734347.5
IRELAND,Jan-24,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,20,Cash,Yes,Friendly People,5673325
DENMARK,Jan-24,Friends/Relatives,2,2,Scientific and Academic,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,15,Cash,Yes,No comments,400000
UNITED KINGDOM,25-44,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,1,Credit Card,Yes,No comments,663000
GERMANY,Jan-24,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,24,Cash,Yes,Good service,453866
SPAIN,45-64,Spouse and Children,3,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Cash,Yes, Wildlife,25442625
FRANCE,Jan-24,Alone,0,1,Leisure and Holidays,Conference tourism,others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,11,Cash,Yes,"Wonderful Country, Landscape, Nature",6961500
UNITED KINGDOM,Jan-24,Alone,0,1,Volunteering,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,56,Credit Card,No,Friendly People,1707030
UNITED KINGDOM,45-64,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,Cash,No,Friendly People,5690100
ITALY,45-64,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Yes,No,No,6,Cash,Yes,Excellent Experience,2652000
EGYPT,Jan-24,Alone,0,1,Visiting Friends and Relatives,Bird watching,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,No,No,No,2,Cash,Yes,No comments,2320500
UNITED KINGDOM,45-64,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,11,Cash,No,No comments,4267575
QATAR,25-44,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,13,Cash,No, Wildlife,17316000
MOZAMBIQUE,Jan-24,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,Cash,Yes,Excellent Experience,663000
KENYA,45-64,Alone,1,0,Scientific and Academic,Mountain climbing,inflight magazines,Package Tour,Yes,Yes,No,No,No,No,No,5,Credit Card,No, Wildlife,3812250
CHINA,25-44,Alone,1,0,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,2,Other,No,Friendly People,828750
MALAWI,25-44,Alone,0,1,Meetings and Conference,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,Credit Card,No,Friendly People,3000000
UNITED KINGDOM,45-64,Spouse,1,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,10,Cash,No,Excellent Experience,828750
UNITED KINGDOM,25-44,Children,0,3,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,29,Cash,No,No comments,28450500
JAPAN,25-44,Alone,1,0,Volunteering,Cultural tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,27,Cash,Yes,No comments,745875
CHINA,Jan-24,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,34,Cash,Yes,Friendly People,3273562.5
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,No,No,No,0,Cash,Yes,No comments,3397875
UNITED KINGDOM,45-64,Alone,0,1,Business,business,others,Independent,No,No,No,No,No,No,No,20,Cash,Yes,Friendly People,6132750
SWEDEN,45-64,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,10,Credit Card,No,Friendly People,4992526
NETHERLANDS,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,10,Cash,Yes,No comments,1588531
FRANCE,25-44,Spouse and Children,1,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Cash,Yes,No comments,34039950
UAE,25-44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,Cash,No,Friendly People,1657500
UNITED KINGDOM,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,Cash,No,Friendly People,2845050
UGANDA,25-44,Spouse and Children,2,1,Meetings and Conference,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,Cash,No,Friendly People,1000000
IRELAND,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,60,Cash,Yes,"Wonderful Country, Landscape, Nature",712725
SWIZERLAND,Jan-24,Alone,1,0,Volunteering,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,Cash,Yes,Friendly People,900000
SPAIN,25-44,Friends/Relatives,1,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,No,No,No,1,Cash,No,No comments,13615980
UNITED STATES OF AMERICA,25-44,Alone,1,0,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Credit Card,Yes,Excellent Experience,1491750
FRANCE,65+,Spouse,1,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,56,Cash,Yes,Friendly People,2269330
UNITED KINGDOM,45-64,Children,2,3,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,24,Cash,No,No comments,33150000
UNITED STATES OF AMERICA,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,No,No,No,0,Cash,No,Good service,1657500
GERMANY,45-64,Children,0,2,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,Cash,No,Friendly People,2000000
SPAIN,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Yes,Yes,Yes,11,Cash,Yes, Wildlife,6807990
UGANDA,25-44,Children,1,1,Meetings and Conference,Mountain climbing,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,5,Cash,Yes,Satisfies and Hope Come Back,700000
SPAIN,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,4,Cash,Yes,Good service,15885310
JAPAN,25-44,Friends/Relatives,1,1,Scientific and Academic,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,1,Cash,Yes,Friendly People,90000
FRANCE,25-44,Alone,0,1,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,Cash,Yes,Friendly People,400000
FRANCE,25-44,Spouse and Children,1,4,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,Yes,Yes,Yes,Yes,7,Cash,Yes,No comments,9945000
AUSTRALIA,25-44,Friends/Relatives,0,2,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,No,Yes,No,No,No,Yes,No,9,Cash,Yes,No comments,19890000
GERMANY,Jan-24,Friends/Relatives,2,2,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,22,Cash,Yes,No comments,2269330
UNITED KINGDOM,25-44,Friends/Relatives,2,2,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,3,Credit Card,No,Friendly People,16773900
UNITED KINGDOM,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Cash,Yes,No comments,1989000
SOUTH AFRICA,25-44,Friends/Relatives,0,2,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,3,Cash,Yes,No comments,331500
UNITED KINGDOM,45-64,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,120,Cash,No,"Wonderful Country, Landscape, Nature",1422525
UNITED STATES OF AMERICA,Jan-24,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,50,Cash,Yes, Wildlife,5801250
SOUTH AFRICA,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,10,Cash,No,No comments,165750
UNITED STATES OF AMERICA,25-44,Alone,1,0,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,Credit Card,Yes,Friendly People,2652000
YEMEN,45-64,Spouse and Children,1,2,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,Cash,No,Excellent Experience,248625
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Package Tour,Yes,Yes,No,No,No,No,No,7,Cash,Yes,No comments,9077320
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Visiting Friends and Relatives,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,6,Cash,Yes,Good service,1193400
UNITED KINGDOM,Jan-24,Alone,0,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,45,Cash,Yes,Friendly People,331500
ITALY,45-64,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,Cash,Yes,"Wonderful Country, Landscape, Nature",1989000
NETHERLANDS,25-44,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,Cash,Yes,Satisfies and Hope Come Back,2269330
SOUTH AFRICA,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,3,Cash,Yes,Friendly People,1823250
SOUTH AFRICA,25-44,Friends/Relatives,0,2,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,Cash,No,Friendly People,414375
SPAIN,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,15,Cash,Yes,"Wonderful Country, Landscape, Nature",8287500
GERMANY,25-44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,Cash,No,No comments,165750
UGANDA,25-44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,60,Cash,No, Wildlife,4966000
NEW ZEALAND,Jan-24,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,No,No comments,1657500
AUSTRALIA,45-64,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,Cash,No,No comments,70000
UNITED STATES OF AMERICA,25-44,Friends/Relatives,0,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,11,Cash,No, Wildlife,4972500
NETHERLANDS,25-44,Spouse and Children,2,2,Other,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,90,Cash,No,Friendly People,100000
BELGIUM,45-64,Spouse,1,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Credit Card,Yes,Friendly People,1400000
DENMARK,65+,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,14,Cash,No, Wildlife,9892025
UNITED STATES OF AMERICA,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,9,Cash,Yes, Wildlife,16575000
UNITED KINGDOM,25-44,Alone,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,Cash,No,"Wonderful Country, Landscape, Nature",2403375
SPAIN,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,6,Cash,Yes,Friendly People,7375875
NORWAY,Jan-24,Friends/Relatives,4,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,11,Cash,Yes,"Wonderful Country, Landscape, Nature",7261380
DENMARK,65+,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,14,Cash,No, Wildlife,50553750
NETHERLANDS,45-64,Alone,1,0,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,15,Credit Card,No, Wildlife,1657500
UNITED KINGDOM,Jan-24,Alone,1,0,Volunteering,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,70,Cash,Yes, Wildlife,453866
ZIMBABWE,25-44,Alone,0,1,Scientific and Academic,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,21,Cash,Yes,Friendly People,828750
ZAMBIA,45-64,Friends/Relatives,1,1,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,Cash,Yes,Friendly People,414375
SPAIN,25-44,Alone,1,0,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,12,Cash,Yes,Friendly People,2269330
UNITED KINGDOM,45-64,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,12,Credit Card,No, Wildlife,2269330
GERMANY,25-44,Alone,0,1,Leisure and Holidays,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,Cash,Yes,Friendly People,1657500
UNITED STATES OF AMERICA,25-44,Spouse,1,1,Meetings and Conference,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,12,Cash,Yes,Friendly People,7458750
KENYA,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,Trade fair,Independent,No,No,No,No,No,No,No,4,Credit Card,No,No comments,3315000
NORWAY,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,No,No,No,3,Credit Card,No, Wildlife,14917500
IRELAND,45-64,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,12,Credit Card,Yes,"Wonderful Country, Landscape, Nature",2154750
KENYA,25-44,Alone,0,1,Visiting Friends and Relatives,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,3,Credit Card,No,Friendly People,1044225
NETHERLANDS,65+,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,42,Cash,No,"Wonderful Country, Landscape, Nature",9116250
UNITED KINGDOM,25-44,Spouse,0,1,Visiting Friends and Relatives,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,6,Cash,No, Wildlife,2845050
SWEDEN,25-44,Friends/Relatives,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,0,Cash,Yes,Friendly People,2486250
AUSTRIA,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Package Tour,No,Yes,No,Yes,No,Yes,No,4,Cash,Yes, Wildlife,1308683
SWIZERLAND,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,15,Cash,Yes, Wildlife,38951250
CONGO,25-44,Alone,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,11,Cash,No,Friendly People,893392.5
NORWAY,25-44,Friends/Relatives,1,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,Cash,Yes, Wildlife,1707225
SOUTH AFRICA,25-44,Friends/Relatives,1,1,Leisure and Holidays,Cultural tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,11,Credit Card,Yes,Friendly People,1553800
UNITED KINGDOM,65+,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,Yes,No,No,No,3,Cash,No,Excellent Experience,14509755
GERMANY,45-64,Friends/Relatives,2,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,10,Cash,Yes,No comments,6807990
UNITED KINGDOM,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,7,Cash,Yes,Friendly People,33287085
UNITED STATES OF AMERICA,25-44,Alone,1,0,Leisure and Holidays,Conference tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,Cash,No,Good service,663000
KENYA,65+,Alone,0,1,Scientific and Academic,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,Cash,No,Friendly People,3775200
KENYA,25-44,Friends/Relatives,5,5,Meetings and Conference,Beach tourism,Tanzania Mission Abroad,Package Tour,Yes,Yes,Yes,No,No,No,No,10,Cash,No, Wildlife,2060000
NORWAY,Jan-24,Friends/Relatives,0,2,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,Cash,Yes,Friendly People,1674075
CHINA,Jan-24,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,24,Cash,Yes,Friendly People,2486250
INDIA,25-44,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,Cash,No,Good service,2090107.5
UNITED STATES OF AMERICA,45-64,Spouse and Children,1,3,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,Cash,No,No comments,2486250
NETHERLANDS,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes,Friendly People,3978000
UNITED KINGDOM,Jan-24,Alone,1,0,Volunteering,Cultural tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,35,Cash,Yes,"Wonderful Country, Landscape, Nature",5221125
UNITED STATES OF AMERICA,Jan-24,Alone,1,0,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,3,Cash,Yes, Wildlife,3698565
SWEDEN,25-44,Alone,0,1,Meetings and Conference,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,2,Cash,No,No comments,663000
UNITED STATES OF AMERICA,45-64,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,Credit Card,Yes,Excellent Experience,21547500
ITALY,25-44,Children,1,2,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,Cash,No,"Wonderful Country, Landscape, Nature",1657500
INDIA,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,others,Independent,No,No,No,No,No,No,No,6,Credit Card,No,No comments,4558125
NEW ZEALAND,65+,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,Cash,Yes, Wildlife,7458750
UNITED KINGDOM,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,others,Independent,No,No,No,No,No,No,No,14,Cash,No,Friendly People,994500
FRANCE,45-64,Friends/Relatives,2,1,Leisure and Holidays,Wildlife tourism,Tanzania Mission Abroad,Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,4,Cash,Yes,"Wonderful Country, Landscape, Nature",13591500
FRANCE,45-64,Spouse and Children,1,2,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,5,Cash,Yes, Wildlife,14917500
FRANCE,45-64,Spouse and Children,3,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,12,Cash,Yes,"Wonderful Country, Landscape, Nature",24199500
AUSTRALIA,25-44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes, Wildlife,5198457
KENYA,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,No,Friendly People,56000
CANADA,45-64,Children,3,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,Cash,No,No comments,3000000
AUSTRALIA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,7,Credit Card,Yes,"Wonderful Country, Landscape, Nature",26779930
BELGIUM,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Credit Card,Yes,Friendly People,1400000
CANADA,25-44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,Cash,No,Friendly People,778930
BELGIUM,Jan-24,Friends/Relatives,3,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,No,No,No,No,13,Cash,Yes,No comments,14750645
JAPAN,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,13,Cash,Yes, Wildlife,5138250
UNITED STATES OF AMERICA,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,7,Cash,Yes,No comments,331500
NORWAY,25-44,Alone,0,1,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,Credit Card,No,"Wonderful Country, Landscape, Nature",1657500
KENYA,25-44,Friends/Relatives,3,0,Other,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,Yes,Satisfies and Hope Come Back,690000
